state,gender,median_home_val,avg_fam_income,avg_household_income,med_fam_income,median_household_income,hvp1,per_capita_income,pobc2,avggift,domain,target_d,med_fam_income_binned
TX,Female,715.0,396.0,371,378.0,339,1,12617.0,88,6,R2,7.5,Moderate
HI,Female,2346.0,503.0,468,446.0,420,67,14552.0,78,15,C2,21.0,Moderate
FL,Male,559.0,269.0,257,270.0,232,0,10511.0,20,12,S3,20.0,Low
TX,Male,1159.1485913737222,531.0,450,457.0,368,5,33797.0,42,12,U1,20.0,Moderate
CA,Female,596.0,190.0,181,168.0,164,0,5273.0,57,16,R1,15.0,Low
UT,Male,706.0,394.0,379,376.0,362,1,10420.0,82,15,C3,25.0,Moderate
GA,Female,878.0,588.0,433,517.0,310,30,22281.0,55,10,C2,16.0,Moderate
WA,Female,1275.0,545.0,500,453.0,405,21,20971.0,51,6,C2,10.0,Moderate
CA,Female,2362.0,678.0,655,632.0,613,74,21179.0,61,8,C1,5.0,Moderate
ID,F,718.0,357.0,278,280.0,226,0,17292.0,39,20,T2,15.0,Low
CT,Male,2531.0,750.0,696,730.0,669,77,21094.0,51,8,0,11.0,Moderate
CA,Female,2089.0,356.0,322,296.0,275,56,10484.0,36,7,U3,5.0,Low
AL,F,765.0,472.0,441,430.0,408,1,15150.0,68,33,0,35.0,Moderate
ND,Female,832.0,376.0,348,338.0,310,0,11972.0,85,10,C2,10.0,Low
TX,Male,1458.0,446.0,356,354.0,299,8,19185.0,56,6,S1,10.0,Low
CA,Female,1590.0,257.0,262,238.0,240,25,7559.0,34,13,U4,15.0,Low
IL,Female,613.0,355.0,294,245.0,212,0,11792.0,60,11,U2,25.0,Low
SC,Female,477.0,316.0,292,282.0,256,0,10621.0,80,5,T2,10.0,Low
IA,Female,424.0,256.0,230,256.0,192,0,9497.0,78,4,T2,6.0,Low
CO,Male,383.0,380.0,359,256.0,252,0,14045.0,78,13,R3,15.0,Low
TX,Male,688.0,490.0,457,466.0,422,0,16561.0,84,11,T1,18.0,Moderate
CA,Male,3500.0,407.0,463,260.0,351,57,26034.0,28,15,U1,24.0,Low
CA,F,2143.0,373.0,328,353.0,280,63,12935.0,36,9,0,14.0,Low
FL,Female,625.0,536.0,362,466.0,246,3,19102.0,47,14,S1,20.0,Moderate
Cali,Male,1560.0,485.0,487,488.0,500,5,13816.0,38,15,S2,21.0,Moderate
NC,Female,716.0,382.0,227,339.0,146,1,11136.0,66,12,C2,15.0,Low
TX,Female,1247.0,444.0,350,313.0,215,17,16891.0,50,26,U1,41.0,Low
LA,Male,611.0,337.0,302,323.0,265,1,12313.0,52,15,T2,20.0,Low
Cali,Female,1431.0,376.0,315,390.0,291,24,10498.0,48,13,S2,5.0,Moderate
LA,Female,1089.0,538.0,480,520.0,431,1,16777.0,64,5,T1,16.0,Moderate
IA,Female,435.0,329.0,281,298.0,244,0,10692.0,76,15,R2,15.0,Low
Cali,Female,1409.0,428.0,377,405.0,321,21,15611.0,57,12,S3,12.0,Moderate
OR,Male,647.0,463.0,401,422.0,369,0,18492.0,34,9,C2,10.0,Moderate
NC,Male,415.0,300.0,242,308.0,199,0,11449.0,86,8,R2,10.0,Low
IL,Female,492.0,399.0,276,384.0,172,0,13218.0,85,8,T2,14.0,Moderate
TX,Male,1043.0,788.0,731,682.0,610,13,49744.0,70,13,T1,20.0,Moderate
Cali,Male,3668.0,780.0,781,693.0,690,97,32964.0,44,15,S1,15.0,Moderate
Cali,Male,3491.0,903.0,853,828.0,791,94,32718.0,44,20,S1,20.0,High
IL,Female,192.0,224.0,186,211.0,164,0,7361.0,89,5,T3,10.0,Low
Cali,Male,0.0,0.0,0,0.0,0,0,0.0,0,20,U4,25.0,Low
WA,Male,824.0,383.0,293,308.0,225,10,13090.0,52,7,C2,11.0,Low
SD,Female,428.0,309.0,245,318.0,205,0,11192.0,62,11,C2,10.0,Low
AL,Female,417.0,250.0,160,283.0,122,0,9715.0,64,7,C3,11.0,Low
TN,Female,399.0,352.0,336,315.0,307,0,11428.0,85,6,R2,16.0,Low
Cali,Female,2377.0,663.0,652,637.0,633,85,19545.0,53,9,C1,10.0,Moderate
Cali,F,2016.0,497.0,459,465.0,431,51,17882.0,53,8,S1,15.0,Moderate
CO,Female,933.0,379.0,349,332.0,289,0,14104.0,42,8,C2,7.0,Low
NM,Female,619.0,268.0,260,222.0,215,4,10427.0,50,12,R2,14.0,Low
Cali,Female,3303.0,614.0,586,568.0,533,94,24251.0,45,14,C2,25.0,Moderate
LA,Female,960.0,613.0,548,526.0,479,0,19518.0,57,15,S1,20.0,Moderate
CO,Male,1236.0,737.0,727,630.0,622,13,25882.0,29,6,S1,10.0,Moderate
AZ,Male,473.0,215.0,207,179.0,164,1,9819.0,23,5,R2,6.0,Low
IL,F,1055.0,400.0,379,462.0,366,0,11289.0,74,20,S2,25.0,Moderate
IL,Female,1509.0,680.0,599,617.0,545,19,23170.0,75,9,C1,11.0,Moderate
Cali,Female,1953.0,564.0,478,526.0,454,47,21667.0,47,15,C2,10.0,Moderate
TN,Male,927.0,410.0,372,322.0,299,1,14428.0,56,5,T2,26.0,Low
Cali,Female,2098.0,368.0,352,311.0,305,56,13564.0,25,6,U2,10.0,Low
Cali,Male,5209.0,1128.0,1058,1220.0,1054,99,52654.0,47,30,U1,38.0,Very High
MO,Female,476.0,319.0,272,280.0,219,0,10966.0,74,7,T2,15.0,Low
MN,Male,1515.0,781.0,717,684.0,648,17,25787.0,63,14,S1,14.0,Moderate
AZ,Male,2158.0,640.0,535,516.0,411,54,33235.0,12,7,C1,9.0,Moderate
MO,Male,1110.0,624.0,538,544.0,460,5,21875.0,58,7,S1,10.0,Moderate
FL,F,581.0,373.0,359,361.0,349,0,9667.0,53,9,S2,15.0,Low
LA,Male,563.0,342.0,308,301.0,259,3,10726.0,90,10,R2,14.0,Low
NM,Female,740.0,324.0,294,288.0,240,2,10701.0,26,5,T2,5.0,Low
IA,Female,516.0,379.0,347,378.0,332,0,13293.0,75,12,S2,15.0,Moderate
MN,Male,575.0,316.0,290,282.0,249,0,9843.0,86,10,R2,20.0,Low
Cali,Male,2357.0,609.0,570,540.0,511,81,23786.0,55,13,S1,19.0,Moderate
SC,Male,645.0,376.0,306,360.0,304,0,6826.0,15,10,S2,25.0,Low
FL,Male,825.0,301.0,290,239.0,233,0,9747.0,21,20,C3,20.0,Low
IN,Male,531.0,290.0,272,278.0,246,0,10423.0,70,5,T2,5.0,Low
KY,Female,195.0,179.0,159,148.0,131,0,5727.0,94,4,R3,5.0,Low
KY,Female,423.0,279.0,274,297.0,293,0,10343.0,82,6,R2,20.0,Low
Cali,Female,2725.0,734.0,662,684.0,629,83,24424.0,51,15,S2,30.0,Moderate
OK,Female,359.0,299.0,270,247.0,220,0,13024.0,64,20,S1,20.0,Low
CT,Female,1373.0,517.0,504,463.0,472,2,17363.0,71,28,T1,40.0,Moderate
NJ,F,1439.0,464.0,417,414.0,370,3,13353.0,61,6,S1,6.0,Moderate
Cali,Female,889.0,495.0,450,488.0,398,0,13782.0,68,5,S2,6.0,Moderate
FL,Male,824.0,326.0,288,274.0,248,0,15008.0,7,10,U1,10.0,Low
Cali,Male,1993.0,520.0,484,472.0,442,49,16427.0,53,10,C3,15.0,Moderate
TX,Female,618.0,394.0,302,310.0,233,0,12864.0,75,10,S2,30.0,Low
Cali,Female,3259.0,591.0,508,626.0,267,83,19399.0,49,7,U1,10.0,Moderate
NE,Female,151.0,273.0,230,208.0,180,0,9138.0,68,2,R3,2.0,Low
MI,Male,492.0,402.0,317,370.0,272,0,14442.0,55,14,T2,20.0,Low
AR,F,892.0,468.0,426,406.0,380,5,19444.0,21,17,C1,30.0,Moderate
GA,Female,948.0,584.0,585,530.0,531,1,19537.0,65,5,T2,5.0,Moderate
LA,Female,717.0,302.0,235,313.0,190,0,10888.0,62,24,U2,20.0,Low
MI,Male,612.0,400.0,392,326.0,330,1,13162.0,27,12,R2,22.0,Low
WA,Female,919.0,346.0,349,337.0,338,1,12507.0,56,8,C3,11.0,Low
WA,Male,697.0,406.0,337,364.0,317,0,13561.0,34,10,S2,11.0,Low
Cali,Male,5059.0,847.0,751,752.0,693,99,29368.0,48,10,S1,25.0,High
Cali,Male,5667.0,848.0,594,808.0,492,98,51280.0,35,28,U1,47.0,High
Cali,Female,2750.0,781.0,717,701.0,668,91,26199.0,44,11,S2,15.0,Moderate
KS,Female,513.0,482.0,436,434.0,400,0,20842.0,66,6,S2,11.0,Moderate
Cali,Female,1848.0,581.0,560,515.0,505,33,19729.0,49,5,S1,7.0,Moderate
Cali,Male,1417.0,508.0,519,341.0,406,18,18590.0,49,14,C2,10.0,Low
IL,Female,347.0,286.0,229,255.0,210,0,10356.0,74,8,C3,20.0,Low
NC,Male,994.0,530.0,485,475.0,404,2,17420.0,70,13,C1,25.0,Moderate
FL,F,3542.0,843.0,807,690.0,642,76,53131.0,31,6,C1,10.0,Moderate
NC,Male,797.0,451.0,423,418.0,377,2,16163.0,74,7,T2,23.0,Moderate
IN,Male,791.0,428.0,390,407.0,361,1,13805.0,74,7,T2,12.0,Moderate
FL,Female,957.0,459.0,450,399.0,408,16,17718.0,17,15,C1,10.0,Moderate
MN,Female,357.0,254.0,215,214.0,164,0,8443.0,78,25,R3,25.0,Low
Cali,Female,896.0,418.0,389,362.0,336,2,14513.0,46,20,T2,20.0,Low
AL,Female,402.0,300.0,276,249.0,232,0,10540.0,86,4,R2,5.0,Low
FL,Male,3083.0,332.0,233,270.0,166,52,16019.0,3,2,C1,3.0,Low
SD,Female,460.0,372.0,300,357.0,247,0,11245.0,69,9,R2,5.0,Low
MI,Male,294.0,404.0,391,355.0,279,0,10385.0,80,17,U4,20.0,Low
IN,Female,1199.0,605.0,597,556.0,547,2,20694.0,69,10,T1,15.0,Moderate
CA,Female,1125.0,362.0,305,336.0,280,15,10857.0,51,5,T2,7.0,Low
NC,Male,974.0,330.0,300,279.0,252,3,13321.0,32,8,C2,13.0,Low
GA,Male,316.0,280.0,254,238.0,213,0,8956.0,79,12,R2,15.0,Low
MO,Female,825.0,555.0,464,463.0,401,1,28003.0,49,25,C1,30.0,Moderate
TX,Female,642.0,312.0,306,284.0,271,0,9453.0,35,6,S2,10.0,Low
IN,Male,1263.0,601.0,548,517.0,468,21,26265.0,58,7,C1,10.0,Moderate
CA,Female,1809.0,543.0,503,466.0,454,35,15886.0,44,8,C2,10.0,Moderate
IL,Male,5294.0,1065.0,1012,1165.0,1035,96,60053.0,57,13,S1,30.0,Very High
NV,Female,1161.0,570.0,536,484.0,448,5,20691.0,14,5,S1,6.0,Moderate
OK,Female,295.0,248.0,195,203.0,150,0,8962.0,62,6,R3,8.0,Low
CA,F,3020.0,823.0,809,765.0,756,95,26135.0,46,40,S1,75.0,High
CO,Female,431.0,541.0,386,342.0,258,0,25828.0,32,8,U2,16.0,Low
MO,Female,544.0,340.0,326,283.0,264,0,16194.0,71,11,C3,25.0,Low
FL,Male,618.0,335.0,278,278.0,223,2,13341.0,22,7,U3,10.0,Low
GA,Male,323.0,210.0,201,207.0,183,2,7139.0,77,5,T3,10.0,Low
ID,Male,1104.0,566.0,534,528.0,511,7,17366.0,50,13,C1,10.0,Moderate
CA,F,2135.0,456.0,433,417.0,417,58,18907.0,55,8,0,5.0,Moderate
GA,Male,671.0,441.0,372,365.0,287,3,16517.0,70,4,T3,16.0,Low
MI,Female,510.0,394.0,324,370.0,228,0,12576.0,80,10,R2,23.0,Low
CA,Female,650.0,318.0,315,302.0,302,13,7080.0,49,8,R2,21.0,Low
MN,Female,487.0,327.0,286,287.0,248,0,10792.0,88,12,R2,15.0,Low
CA,Female,2925.0,376.0,353,305.0,288,83,23046.0,21,7,U1,10.0,Low
FL,Male,884.0,313.0,271,268.0,242,1,13491.0,6,4,T2,3.0,Low
MN,Female,753.0,442.0,373,393.0,341,0,15502.0,80,8,S1,10.0,Moderate
MO,Female,594.0,347.0,343,350.0,337,1,13094.0,79,2,C2,2.0,Low
WI,Male,627.0,444.0,394,427.0,367,0,15350.0,71,7,S2,10.0,Moderate
WI,Male,806.0,447.0,382,420.0,331,0,15120.0,85,13,S1,16.0,Moderate
CA,Female,3149.0,672.0,562,601.0,504,80,22033.0,33,10,U1,20.0,Moderate
CA,Female,5266.0,785.0,669,675.0,495,96,43828.0,36,9,S1,10.0,Moderate
CA,Male,1401.0,466.0,462,445.0,441,1,15438.0,49,5,C2,6.0,Moderate
CO,Male,593.0,230.0,207,180.0,163,0,9520.0,33,12,S2,10.0,Low
FL,Female,915.0,438.0,367,357.0,308,13,17783.0,19,13,R1,20.0,Low
NE,Female,456.0,381.0,314,311.0,258,2,13411.0,75,7,T2,10.0,Low
IN,Male,610.0,407.0,384,336.0,319,0,11815.0,86,4,R2,7.0,Low
FL,Male,1229.0,544.0,507,502.0,469,21,17313.0,30,8,T1,5.0,Moderate
FL,Male,428.0,208.0,171,196.0,140,1,9064.0,35,9,T2,10.0,Low
IL,Female,2333.0,744.0,420,643.0,316,61,33535.0,45,7,U1,10.0,Moderate
NC,Male,707.0,433.0,398,400.0,383,0,13852.0,84,9,R2,45.0,Moderate
OR,Female,377.0,187.0,219,199.0,171,0,21980.0,42,16,U4,20.0,Low
CA,F,1624.0,408.0,407,382.0,380,13,9685.0,47,5,U3,4.0,Moderate
MI,Female,348.0,316.0,264,269.0,184,0,11686.0,71,27,U4,30.0,Low
CA,Female,1878.0,566.0,564,526.0,523,35,16084.0,62,6,C1,5.0,Moderate
IL,Female,777.0,423.0,396,386.0,378,0,14106.0,84,17,S2,20.0,Moderate
IL,Female,1463.0,523.0,266,439.0,117,8,13344.0,60,12,U1,15.0,Moderate
TX,Male,375.0,248.0,206,214.0,153,0,7798.0,84,5,R3,12.0,Low
IN,F,561.0,331.0,323,301.0,302,1,10873.0,60,19,R2,26.0,Low
NC,Male,502.0,261.0,229,250.0,199,1,8726.0,85,7,R2,10.0,Low
CA,Male,4206.0,850.0,834,804.0,789,93,37411.0,36,12,C1,10.0,High
IN,Male,800.0,425.0,338,398.0,283,4,15160.0,60,16,T2,23.0,Moderate
CO,Male,1472.0,732.0,687,653.0,625,27,27469.0,24,15,T1,21.0,Moderate
KY,Female,492.0,471.0,425,450.0,332,3,21410.0,71,8,C2,10.0,Moderate
IL,Female,609.0,385.0,349,347.0,314,1,11360.0,92,6,R2,10.0,Low
CA,Female,2430.0,669.0,659,610.0,604,85,20529.0,42,9,S1,20.0,Moderate
CA,Male,2559.0,651.0,614,591.0,581,84,21559.0,51,10,S1,16.0,Moderate
FL,F,696.0,427.0,358,357.0,272,7,16474.0,22,3,U3,3.0,Low
FL,Male,762.0,411.0,327,355.0,254,7,17458.0,13,6,U2,8.0,Low
CA,Female,3556.0,805.0,838,701.0,735,98,34382.0,55,15,U1,15.0,Moderate
NE,Female,441.0,353.0,300,321.0,260,0,12452.0,75,5,T2,7.0,Low
IN,Female,502.0,388.0,341,363.0,319,0,12989.0,80,15,C2,20.0,Low
IN,Male,673.0,373.0,335,330.0,284,0,15149.0,67,13,S2,15.0,Low
FL,Female,1173.0,494.0,407,424.0,322,5,18738.0,14,4,C1,3.0,Moderate
FL,Female,934.0,400.0,376,373.0,323,1,9980.0,17,25,S2,25.0,Low
FL,Male,1332.0,497.0,422,411.0,357,2,21444.0,15,9,C1,20.0,Moderate
ID,Female,451.0,294.0,262,261.0,225,1,10244.0,43,15,R2,10.0,Low
CO,Female,649.0,302.0,272,273.0,238,0,10417.0,60,5,C2,8.0,Low
OK,Female,590.0,456.0,433,439.0,410,0,13115.0,65,13,T2,11.0,Moderate
TX,Female,500.0,379.0,314,316.0,291,0,19609.0,50,11,C1,25.0,Low
FL,Male,368.0,295.0,261,271.0,230,0,9547.0,68,10,S3,19.0,Low
TX,Male,427.0,377.0,340,365.0,315,0,11299.0,86,9,R2,15.0,Low
CA,Female,1458.0,249.0,220,191.0,173,7,8381.0,38,4,U3,8.0,Low
TX,Male,274.0,256.0,199,214.0,154,1,8881.0,84,40,R3,200.0,Low
KY,Female,584.0,341.0,336,287.0,274,0,15105.0,62,11,S2,10.0,Low
IL,Female,553.0,348.0,333,309.0,306,0,9296.0,72,8,U3,10.0,Low
CA,Male,903.0,390.0,358,406.0,321,0,10985.0,54,6,S3,7.0,Moderate
CA,Male,2545.0,358.0,386,304.0,361,80,14300.0,37,12,S2,17.0,Low
CA,Female,1778.0,503.0,439,480.0,411,27,18236.0,41,39,U1,50.0,Moderate
CA,F,1187.0,428.0,393,366.0,328,11,13978.0,49,10,0,10.0,Low
TX,Female,1448.0,724.0,698,667.0,651,18,24736.0,49,7,S1,13.0,Moderate
AL,F,712.0,472.0,446,398.0,377,1,15013.0,73,14,T2,15.0,Moderate
FL,Male,1432.0,772.0,680,693.0,636,24,35544.0,44,25,0,150.0,Moderate
CA,Female,2598.0,661.0,562,557.0,470,74,31631.0,36,8,C1,15.0,Moderate
CA,Female,2855.0,537.0,484,385.0,311,78,18525.0,47,6,U2,20.0,Moderate
TX,Female,535.0,402.0,317,437.0,244,3,17053.0,86,9,C2,15.0,Moderate
WA,Male,703.0,232.0,206,206.0,161,0,8860.0,55,7,T3,10.0,Low
IL,Male,662.0,456.0,394,406.0,352,1,13460.0,60,12,U3,15.0,Moderate
CA,Female,2973.0,654.0,624,591.0,576,85,18497.0,41,7,U1,10.0,Moderate
CA,Female,2289.0,679.0,657,647.0,631,66,22571.0,61,9,T1,10.0,Moderate
TX,Female,1274.0,825.0,804,798.0,789,1,26360.0,31,6,S1,10.0,High
WI,Male,840.0,548.0,513,471.0,458,11,20327.0,79,15,S1,20.0,Moderate
WA,Female,1024.0,472.0,446,451.0,441,5,13462.0,46,10,T2,32.0,Moderate
AL,Female,558.0,398.0,382,354.0,336,0,13299.0,77,7,S2,15.0,Low
MT,Male,717.0,358.0,333,315.0,306,1,11279.0,37,4,R1,2.0,Low
IL,Female,1667.0,624.0,592,603.0,541,26,21458.0,65,13,U1,20.0,Moderate
WA,Female,843.0,486.0,475,424.0,423,5,16476.0,32,10,S2,21.0,Moderate
GA,Female,583.0,434.0,405,374.0,360,5,24198.0,22,9,C1,14.0,Low
CA,Male,1801.0,525.0,475,534.0,495,34,18663.0,48,19,U2,20.0,Moderate
AL,Female,863.0,562.0,459,527.0,406,2,19862.0,58,9,C2,10.0,Moderate
OR,Male,335.0,170.0,154,157.0,140,0,6682.0,36,4,C3,7.0,Low
TX,F,1362.0,718.0,627,645.0,575,8,21447.0,63,8,S1,10.0,Moderate
UT,Female,700.0,302.0,281,257.0,252,0,12806.0,63,20,U2,20.0,Low
IL,Female,562.0,474.0,388,480.0,360,0,12391.0,69,20,U3,30.0,Moderate
FL,Male,1287.0,616.0,567,508.0,479,7,20795.0,35,4,C2,4.0,Moderate
TN,Female,476.0,310.0,272,254.0,210,0,10171.0,55,13,R2,21.0,Low
CA,Male,5939.0,1085.0,1080,1211.0,1214,99,64833.0,42,20,S1,36.0,Very High
AL,Female,648.0,453.0,357,418.0,353,0,16873.0,77,7,C1,5.0,Moderate
CA,Male,1862.0,425.0,401,372.0,365,23,10521.0,45,17,S2,20.0,Low
CA,Female,1843.0,582.0,575,511.0,515,34,23660.0,29,19,S1,10.0,Moderate
CA,Male,5190.0,918.0,871,892.0,870,98,39481.0,47,9,S1,20.0,High
CA,Male,3912.0,454.0,404,410.0,351,98,19508.0,32,6,U1,7.0,Moderate
OK,Female,1537.0,949.0,916,783.0,791,26,32640.0,54,11,S1,12.0,High
WA,Female,719.0,416.0,389,340.0,330,1,14248.0,57,10,S2,11.0,Low
AZ,Male,1074.0,516.0,510,472.0,469,11,18042.0,34,8,T1,15.0,Moderate
TX,Male,298.0,303.0,267,281.0,268,0,9838.0,75,6,C3,4.0,Low
TX,Male,1951.0,896.0,870,838.0,807,49,31111.0,32,9,S1,20.0,High
FL,Male,1434.0,577.0,513,479.0,388,25,18405.0,37,18,S1,20.0,Moderate
IA,Male,206.0,288.0,267,251.0,229,0,9248.0,86,11,R3,15.0,Low
MI,Male,613.0,349.0,209,267.0,146,0,13209.0,42,17,C1,18.0,Low
GA,Female,991.0,548.0,532,506.0,493,3,17344.0,46,7,T1,8.0,Moderate
MI,Female,900.0,465.0,386,420.0,343,0,16254.0,74,13,S1,25.0,Moderate
NV,Female,1163.0,548.0,511,493.0,468,7,18824.0,26,53,S2,25.0,Moderate
HI,Female,3260.0,581.0,552,542.0,509,87,19165.0,52,13,S1,10.0,Moderate
TX,Male,430.0,320.0,281,283.0,237,0,10269.0,82,12,T2,14.0,Low
SD,Female,167.0,290.0,247,273.0,214,0,9452.0,85,14,R3,20.0,Low
FL,Female,1380.0,371.0,299,325.0,260,14,13011.0,26,7,T2,11.0,Low
CA,F,3357.0,447.0,343,455.0,284,73,24240.0,33,11,U1,19.0,Moderate
CA,Female,1518.0,218.0,208,171.0,150,13,5043.0,27,5,U4,5.0,Low
WA,Male,1390.0,470.0,463,430.0,426,12,15022.0,63,18,T2,20.0,Moderate
MO,Male,1224.0,611.0,608,577.0,575,7,18029.0,77,2,S1,1.0,Moderate
IL,Female,182.0,278.0,242,217.0,171,0,9240.0,64,10,R3,20.0,Low
OR,Female,786.0,466.0,444,452.0,419,1,15010.0,59,4,T2,5.0,Moderate
TX,Male,308.0,219.0,204,186.0,161,0,6576.0,72,4,0,5.0,Low
OR,Female,1074.0,309.0,294,252.0,232,15,15070.0,18,10,T2,20.0,Low
AZ,Male,885.0,454.0,417,408.0,367,12,21767.0,1,9,C2,9.0,Moderate
CA,Female,2375.0,363.0,411,363.0,371,71,15361.0,39,4,C2,6.0,Low
LA,Male,657.0,325.0,303,293.0,265,3,12509.0,87,9,T3,10.0,Low
IN,Female,581.0,383.0,369,372.0,369,0,12835.0,70,25,C2,20.0,Low
CA,Male,3010.0,559.0,431,518.0,410,93,19149.0,56,8,S1,5.0,Moderate
MO,Male,548.0,342.0,298,355.0,262,0,12621.0,96,15,S3,21.0,Low
FL,Male,819.0,459.0,421,388.0,348,3,15958.0,47,7,T2,6.0,Moderate
IL,Female,613.0,355.0,294,245.0,212,0,11792.0,60,6,U3,11.0,Low
IN,Female,431.0,347.0,310,314.0,280,0,11052.0,62,8,R2,11.0,Low
FL,Male,710.0,391.0,325,287.0,254,6,15970.0,30,7,C2,10.0,Low
CA,Female,3673.0,725.0,589,675.0,515,97,31773.0,39,6,U1,10.0,Moderate
MI,Female,365.0,330.0,221,310.0,98,0,9470.0,53,15,C3,15.0,Low
SC,Female,682.0,498.0,421,464.0,366,2,14538.0,63,9,T2,16.0,Moderate
UT,Female,901.0,437.0,411,336.0,327,1,17854.0,61,10,U1,12.0,Low
California,Male,1676.0,372.0,398,336.0,371,9,13231.0,69,5,C2,25.0,Low
IN,Female,445.0,423.0,370,398.0,332,0,13662.0,78,14,T2,26.0,Moderate
TX,Female,588.0,381.0,344,383.0,316,0,14293.0,85,22,S2,50.0,Moderate
MI,Female,413.0,231.0,123,171.0,95,0,9020.0,46,10,C3,12.0,Low
IN,Female,522.0,403.0,326,349.0,225,0,13669.0,84,12,T3,10.0,Low
WI,F,667.0,422.0,334,385.0,293,0,17527.0,68,15,S2,15.0,Moderate
WI,Female,303.0,253.0,219,217.0,175,0,7115.0,76,10,R3,20.0,Low
OK,Male,633.0,517.0,439,442.0,399,0,17637.0,63,13,C1,10.0,Moderate
SC,Female,391.0,269.0,242,243.0,214,0,9853.0,77,14,C3,10.0,Low
TX,Female,707.0,327.0,291,283.0,246,0,15322.0,63,5,S2,7.0,Low
MI,Male,1179.0,501.0,462,496.0,464,2,15910.0,82,13,T2,15.0,Moderate
AL,F,453.0,299.0,263,264.0,219,0,9654.0,90,7,R3,10.0,Low
CA,Male,3365.0,621.0,655,525.0,544,94,27608.0,59,6,U1,10.0,Moderate
IL,Male,1315.0,472.0,398,384.0,328,9,15767.0,64,4,C2,3.0,Moderate
CA,Female,668.0,240.0,239,191.0,187,0,6845.0,39,6,S1,10.0,Low
SC,Male,399.0,302.0,259,266.0,221,0,10150.0,88,13,T2,24.0,Low
CA,Female,3200.0,338.0,325,292.0,267,87,11115.0,43,13,U2,15.0,Low
TX,Female,289.0,283.0,224,226.0,171,0,9765.0,83,9,R3,12.0,Low
CA,Female,1796.0,337.0,334,271.0,266,33,10720.0,32,20,U2,20.0,Low
FL,Male,625.0,309.0,299,282.0,259,0,11072.0,16,17,C3,25.0,Low
CA,Female,978.0,381.0,349,324.0,290,6,13490.0,50,15,U2,30.0,Low
MO,Male,367.0,222.0,193,186.0,159,0,8893.0,63,3,R3,3.0,Low
AR,Male,376.0,256.0,231,195.0,178,3,8246.0,57,9,R3,10.0,Low
WI,Female,937.0,545.0,433,441.0,321,7,18567.0,52,15,U1,21.0,Moderate
ND,Female,675.0,358.0,301,310.0,272,1,13135.0,81,3,T2,3.0,Low
NE,Female,232.0,280.0,229,259.0,197,0,9480.0,81,6,R2,10.0,Low
MI,Female,545.0,416.0,400,382.0,364,0,11401.0,89,8,R2,15.0,Moderate
WI,Female,458.0,318.0,276,270.0,228,0,10731.0,82,13,C2,25.0,Low
